time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1609043653.86687851,0.01118061,0.00120500,0.00000305,2993.00000000,0.00665760,0.000000,0.000000
1609043653.96073437,0.01114450,0.00131871,0.00000342,3007.00000000,0.00807518,0.000000,0.000000
1609043654.05746627,0.01112286,0.00165474,0.00000422,2976.00000000,0.00926255,0.000000,0.000000
1609043654.16716766,0.01123412,0.00398773,0.00000991,2990.00000000,0.02091360,0.000000,0.000000
1609043654.26104522,0.01115886,0.00084836,0.00000221,3002.00000000,0.00453566,0.000000,0.000000
1609043654.35756350,0.01112694,0.00150014,0.00000379,3017.00000000,0.00828643,0.000000,0.000000
1609043654.46694994,0.01108671,0.00141484,0.00000362,3009.00000000,0.00746547,0.000000,0.000000
1609043654.56371593,0.01107388,0.00163490,0.00000417,3012.00000000,0.00990682,0.000000,0.000000
1609043654.65745950,0.01104777,0.00148369,0.00000399,3021.00000000,0.00864543,0.000000,0.000000
1609043654.76830912,0.01102964,0.00185631,0.00000412,3023.00000000,0.00934315,0.000000,0.000000
1609043654.86183524,0.01100024,0.00165682,0.00000362,3024.00000000,0.00823739,0.000000,0.000000
1609043654.95833015,0.01096145,0.00147892,0.00000352,3023.00000000,0.00727648,0.000000,0.000000
1609043655.06812668,0.01106474,0.00389476,0.00000927,3020.00000000,0.02098036,0.000000,0.000000
1609043655.16230559,0.01099314,0.00068852,0.00000184,3033.00000000,0.00404818,0.000000,0.000000
1609043655.25747299,0.01103880,0.00377655,0.00000710,3034.00000000,0.01551284,0.000000,0.000000
1609043655.36779332,0.01098373,0.00102587,0.00000248,3043.00000000,0.00553165,0.000000,0.000000
1609043655.46326089,0.01099922,0.00219131,0.00000573,3056.00000000,0.01254897,0.000000,0.000000
1609043655.55869889,0.01095073,0.00106531,0.00000276,3061.00000000,0.00605243,0.000000,0.000000
1609043655.66982484,0.01106488,0.00401158,0.00001005,3079.00000000,0.02270836,0.000000,0.000000
1609043655.76327467,0.01104009,0.00152053,0.00000379,3046.00000000,0.00848666,0.000000,0.000000
1609043655.85717225,0.01101508,0.00149272,0.00000380,3052.00000000,0.00841401,0.000000,0.000000
