#time(s),x(m),y(m),z(m),qx,qy,qz,qw,gt_x(m),gt_y(m),gt_z(m),gt_qx,gt_qy,gt_qz,gt_qw
70.000000,1143.700691,0.000000,-0.036558,0.000000,-0.001255,0.000000,0.999999,1143.700871,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
71.000000,1193.414565,0.000000,-0.029658,0.000000,-0.001529,0.000000,0.999999,1193.414780,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
72.000000,1244.548591,0.000000,-0.022724,0.000000,-0.001759,0.000000,0.999998,1244.548839,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
73.000000,1297.122770,0.000000,-0.015995,0.000000,-0.001941,0.000000,0.999998,1297.123048,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
74.000000,1351.157102,0.000000,-0.009674,0.000000,-0.002076,0.000000,0.999998,1351.157407,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
75.000000,1406.671587,0.000000,-0.003928,0.000000,-0.002165,0.000000,0.999998,1406.671916,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
76.000000,1463.686227,0.000000,0.001121,0.000000,-0.002210,0.000000,0.999998,1463.686575,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
77.000000,1522.221021,0.000000,0.005385,0.000000,-0.002216,0.000000,0.999998,1522.221383,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
78.000000,1582.295970,0.000000,0.008820,0.000000,-0.002188,0.000000,0.999998,1582.296342,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
79.000000,1643.931073,0.000000,0.011413,0.000000,-0.002131,0.000000,0.999998,1643.931451,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
80.000000,1707.146331,0.000000,0.013184,0.000000,-0.002051,0.000000,0.999998,1707.146710,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
81.000000,1771.961742,0.000000,0.014181,0.000000,-0.001954,0.000000,0.999998,1771.962119,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
82.000000,1838.397306,0.000000,0.014473,0.000000,-0.001845,0.000000,0.999998,1838.397678,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
83.000000,1906.473024,0.000000,0.014145,0.000000,-0.001730,0.000000,0.999999,1906.473387,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
84.000000,1976.208893,0.000000,0.013296,0.000000,-0.001613,0.000000,0.999999,1976.209246,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
85.000000,2047.624914,0.000000,0.012030,0.000000,-0.001498,0.000000,0.999999,2047.625254,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
86.000000,2120.741086,0.000000,0.010452,0.000000,-0.001390,0.000000,0.999999,2120.741413,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
87.000000,2195.577409,0.000000,0.008666,0.000000,-0.001291,0.000000,0.999999,2195.577722,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
88.000000,2272.153883,0.000000,0.006771,0.000000,-0.001203,0.000000,0.999999,2272.154181,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
89.000000,2350.490507,0.000000,0.004855,0.000000,-0.001127,0.000000,0.999999,2350.490790,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
90.000000,2430.607282,0.000000,0.002996,0.000000,-0.001064,0.000000,0.999999,2430.607549,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
91.000000,2512.524207,0.000000,0.001260,0.000000,-0.001015,0.000000,0.999999,2512.524458,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
92.000000,2596.261283,0.000000,-0.000302,0.000000,-0.000977,0.000000,1.000000,2596.261517,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
93.000000,2681.838508,0.000000,-0.001652,0.000000,-0.000952,0.000000,1.000000,2681.838725,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
94.000000,2769.275884,0.000000,-0.002765,0.000000,-0.000938,0.000000,1.000000,2769.276084,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
95.000000,2858.593409,0.000000,-0.003629,0.000000,-0.000932,0.000000,1.000000,2858.593593,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
96.000000,2949.811084,0.000000,-0.004245,0.000000,-0.000934,0.000000,1.000000,2949.811252,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
97.000000,3042.948908,0.000000,-0.004621,0.000000,-0.000943,0.000000,1.000000,3042.949061,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
98.000000,3138.026882,0.000000,-0.004775,0.000000,-0.000955,0.000000,1.000000,3138.027020,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
99.000000,3235.065006,0.000000,-0.004733,0.000000,-0.000970,0.000000,1.000000,3235.065129,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
